Pattern Recognition and Machine Learning,46619,0387310738,Pattern Recognition and Machine Learning (Information Science and Statistics),6891
Graph Theory,10040,0486678709,Introduction to Graph Theory (Dover Books on Mathematics),388
Natural Language Processing,193377,0262133601,Foundations of Statistical Natural Language Processing,6854
